Denominacion,Sector
ALIANZA FRENTE PARA LA VICTORIA,FPV / PJ
CAMBIEMOS BUENOS AIRES,CAMBIEMOS
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),FR UNA / 1 PAIS
ALIANZA CAMBIEMOS,CAMBIEMOS
VOTOS BLANCOS,
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FIT
ALIANZA PROGRESISTAS,
ALIANZA ENCUENTRO POR CORRIENTES,CAMBIEMOS
FRENTE CAMBIA JUJUY,CAMBIEMOS
ALIANZA COMPROMISO FEDERAL,
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA,FR UNA / 1 PAIS
ALIANZA FRENTE UNION CHUBUT SOMOS TODOS,FR UNA / 1 PAIS
ALIANZA FRENTE AMPLIO FORMOSEÃ‘O,CAMBIEMOS
AUTODETERMINACION Y LIBERTAD,
ALIANZA FRENTE CIVICO Y SOCIAL,CAMBIEMOS
VOTOS NULOS,
ALIANZA FRENTE TERCERA POSICION,FR UNA / 1 PAIS
DEL OBRERO,FIT
ES POSIBLE,
COMUNISTA,
VOTOS IMPUGNADOS,
PARTIDO CIUDADANOS A GOBERNAR,
VOTOS RECURRIDOS,
